Date,jan,feb,mar,apr,may,jun,jul,aug,sept,oct,nov,dec,Gulf War Recession,Leap Feb,Great Recession,Thanksgiving (n),Thanksgiving (d),Covid-19 Pandemic
6/2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12/2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2016,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8/2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9/2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12/2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1/2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
